roi_idx,roi_label,period,condition,free_energy_empirical,potential_energy_empirical,entropy_term_empirical,free_energy_theoretical,potential_energy_theoretical,entropy_term_theoretical,drift_0,drift_1,diffusion,mean_signal,std_signal,min_signal,max_signal,n_points
0,Retrocalcarine cortex RH,baseline,active,-3.945001843891192,0.00018104055961165155,-3.9451828844508037,-22.453918587620628,-0.8607193281939532,-21.593199259426676,-0.0405217191272716,-0.0015719556491783,0.0835454683101591,-0.011480579,0.9511543,-3.1152334,3.4092803,4800
0,Retrocalcarine cortex RH,baseline,sham,-4.025468833904062,0.00018902976389969725,-4.025657863667962,-20.37224503297585,-0.7743216292608355,-19.597923403715015,-0.0251622905374801,-0.0003963657629877,0.0406654958236146,0.00046023904,1.0078975,-3.693695,3.8749518,4800
0,Retrocalcarine cortex RH,stimulation,active,-4.040432094522163,-0.003060424685238864,-4.037371669836924,-20.83942277875707,-1.3070888419590636,-19.532333936798004,-0.035749819258084,0.0066401395181695,0.0658573878987432,0.005262871,0.98429364,-3.6217356,3.338441,4800
0,Retrocalcarine cortex RH,stimulation,sham,-4.050743765876828,-0.0014543645259154647,-4.049289401350913,-25.92374669928393,-0.8285530098215643,-25.095193689462366,-0.0379892232938219,0.003124235953221,0.1267585043221138,-0.0007338146,0.9962566,-4.560471,3.3758748,4800
0,Retrocalcarine cortex RH,recovery,active,-3.9621759226910265,0.00040407383635772187,-3.962579996527384,-19.395893936069204,-1.3601448204274638,-18.03574911564174,-0.0433706491903594,0.0001049553369683,0.0728005720709921,0.006184378,1.0612603,-5.4572887,3.9663942,4800
0,Retrocalcarine cortex RH,recovery,sham,-4.035026502486742,0.007332794255656002,-4.042359296742398,-26.562192747800058,-0.3472410815216559,-26.214951666278402,-0.0642884339964227,-0.0144728488162852,0.2862210158995241,0.00031261364,0.99579847,-3.4895844,3.3528252,4800
1,Superior longitudinal fasciculus II mid-posterior RH,baseline,active,-4.017700543611537,-0.005559075357360293,-4.0121414682541765,-27.48909888210013,-0.5306436695203028,-26.95845521257983,-0.018680793703516,0.0117145129122112,0.138759607019804,-0.0044326433,0.9553178,-3.207156,3.5968604,4800
1,Superior longitudinal fasciculus II mid-posterior RH,baseline,sham,-4.031101453714605,-0.007836439003584172,-4.023265014711021,-19.26126450697539,-2.8476319213112764,-16.413632585664114,-0.0625282755793078,0.0160986916166796,0.0993804618827493,-0.0020688223,0.9704859,-3.7514572,3.222408,4800
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,active,-3.9757542912777883,0.0009124554520778512,-3.976666746729866,-26.786124472760623,-0.20529059864907798,-26.580833874111544,-0.0321947299101579,-0.002469996986538,0.2075639962976778,-0.0060883434,0.98420334,-6.8923664,5.663656,4800
1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,sham,-4.026650917906737,-0.01539839260998856,-4.011252525296749,-25.3894248470902,-2.614313278668146,-22.775111568422055,-0.0533576091046849,0.0325452398946339,0.1661331762147231,-0.010395243,0.949642,-4.281566,3.5980904,4800
1,Superior longitudinal fasciculus II mid-posterior RH,recovery,active,-3.977303437258048,-0.00013715755682274254,-3.9771662797012253,-23.269901591241215,-1.3955692861799545,-21.874332305061262,-0.0595193481472893,0.0016087542507195,0.1552091830716099,0.010594338,1.0576118,-4.5342145,4.40787,4800
1,Superior longitudinal fasciculus II mid-posterior RH,recovery,sham,-3.97584887008847,-0.01728859885302598,-3.958560271235444,-26.046914889375344,-1.8103489689542396,-24.236565920421103,-0.0412393723211383,0.030549636215459,0.2940077724914779,0.01252738,1.0752059,-4.5742683,4.6903353,4800
2,Arcuate fasciculus mid-anterior RH,baseline,active,-4.072246903795682,-0.0017443000480846516,-4.070502603747597,-20.55478247708739,-1.203987988457078,-19.35079448863031,-0.0346047670733687,0.0034990924588908,0.0559531471929491,-0.00094754837,0.97626513,-3.1446176,3.0491478,4800
