analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,p_value_bonferroni,p_value_used,cohens_d,active_mean,active_std,sham_mean,sham_std,mean_difference,t_statistic,active_change_mean,active_change_std,sham_change_mean,sham_change_std,change_difference,p_value_active_vs_zero,p_value_sham_vs_zero,effect_size_category,active_change_direction,sham_change_direction
standard,896,Cerebellum V,stimulation,diffusion,0.0003586108374767254,0.3672174975761668,0.3672174975761668,0.0003586108374767254,1.4222848220372069,0.15440055723334833,0.037063391408563504,0.10990234721007763,0.02416580281111366,0.0444982100232707,4.022828969764843,,,,,,,,large,N/A,N/A
standard,145,Inferior longitudinal fasciculus middle RH,baseline,drift_0,0.0011750820074160162,1.0,1.0,0.0011750820074160162,1.2677606631835974,-0.03642972233666152,0.016753273727802213,-0.054114892630959865,0.010417716446954434,0.017685170294298343,3.5857686474347052,,,,,,,,large,N/A,N/A
standard,501,Cerebellum Crus II RH,baseline,drift_0,0.0012002066648209837,0.6145058123883437,1.0,0.0012002066648209837,1.2649626886701977,-0.036386912998055104,0.011423322445788541,-0.05390061224848591,0.015902467945043585,0.01751369925043081,3.5778547804266565,,,,,,,,large,N/A,N/A
standard,988,Superior occipital gyrus RH,stimulation,drift_1,0.0015188787066507347,1.0,1.0,0.0015188787066507347,1.2336945534691728,0.0051404893400212376,0.008862057927883627,-0.007886743471294932,0.012019617882248323,0.01302723281131617,3.4894151386838472,,,,,,,,large,N/A,N/A
standard,602,Subcentral gyrus posterior LH,baseline,drift_1,0.0017002554615071588,1.0,1.0,0.0017002554615071588,1.218630278548337,0.009040232015023342,0.00872676235079546,-0.0014091802722668563,0.00841993070580491,0.010449412287290199,3.4468069348831216,,,,,,,,large,N/A,N/A
standard,970,Central sulcus mid-inferior LH,recovery,drift_0,0.001702933786650346,1.0,1.0,0.001702933786650346,-1.218419674135085,-0.047857905025687826,0.017551282478383598,-0.030772676147156237,0.009230963527072202,-0.01708522887853159,-3.4462112556480884,,,,,,,,large,N/A,N/A
standard,781,Precuneus antero-inferior RH,stimulation,drift_0,0.001783900203202493,1.0,1.0,0.001783900203202493,-1.212199483299452,-0.062056016316275955,0.012054504671379196,-0.04874389623947828,0.0097922590440948,-0.013312120076797676,-3.428617899167486,,,,,,,,large,N/A,N/A
standard,447,Superior parietal sulcus middle LH,baseline,drift_1,0.0018383215076104211,0.9412206118965356,1.0,0.0018383215076104211,1.2081698983205245,0.009165141982807988,0.009205564099658593,-0.00105561305101165,0.007641376960222028,0.010220755033819638,3.4172205117116183,,,,,,,,large,N/A,N/A
standard,825,Parieto-occipital sulcus postero-superior RH,stimulation,drift_1,0.002079377269243349,1.0,1.0,0.002079377269243349,-1.1916021455795582,-0.005707594876626275,0.009469579445898027,0.006548982002937687,0.011041841969469392,-0.012256576879563962,-3.3703598304629807,,,,,,,,large,N/A,N/A
standard,18,Inferior longitudinal fasciculus posterior RH,stimulation,drift_0,0.002322070923067268,1.0,1.0,0.002322070923067268,-1.1766944497830794,-0.05764741474077098,0.01273768503504186,-0.04406436724825988,0.010210350816176874,-0.013583047492511102,-3.3281944993047556,,,,,,,,large,N/A,N/A
standard,855,Superior frontal sulcus anterior LH,baseline,drift_1,0.002860993892292815,0.9765525819026143,1.0,0.002860993892292815,1.1483331035737105,0.0075196334462523245,0.010384043413565013,-0.004025632116631393,0.009712611990534015,0.011545265562883718,3.247976498391859,,,,,,,,large,N/A,N/A
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),stimulation,drift_0,0.002890890462149571,0.9867572777470536,1.0,0.002890890462149571,1.1469141747850855,-0.03094904523673651,0.009864736669257938,-0.0468259047669593,0.016910067445906268,0.015876859530222793,3.2439631617180282,,,,,,,,large,N/A,N/A
standard,510,Inferior longitudinal fasciculus mid-posterior RH,recovery,drift_0,0.0029939696707748024,1.0,1.0,0.0029939696707748024,-1.1421274577809217,-0.06041050920645366,0.01448656131564114,-0.04537065524144583,0.011702424047345462,-0.01503985396500783,-3.230424281504968,,,,,,,,large,N/A,N/A
standard,160,Cingulate cortex mid-posterior,stimulation,diffusion,0.0032059986373044226,1.0,1.0,0.0032059986373044226,-1.1327585990905056,0.08481497667608151,0.01935443976303838,0.1084140491253419,0.022213879284031523,-0.02359907244926039,-3.203925147457081,,,,,,,,large,N/A,N/A
standard,1000,Cerebellum VI RH,baseline,drift_1,0.003273578833350018,0.8380361813376046,1.0,0.003273578833350018,1.1298968300221526,0.007971866474213957,0.012356684701545391,-0.005628302506865856,0.01170786368446502,0.013600168981079814,3.1958308421993915,,,,,,,,large,N/A,N/A
standard,301,Cerebellum IV,baseline,diffusion,0.003289176900093044,1.0,1.0,0.003289176900093044,-1.1292443405195995,0.08301632940104219,0.029988526017722388,0.12046532309081599,0.036058860567090206,-0.03744899368977381,-3.1939853231917588,,,,,,,,large,N/A,N/A
standard,949,Anterior thalamic radiation antero-superior RH,baseline,diffusion,0.003723196847658813,1.0,1.0,0.003723196847658813,-1.1121824515008603,0.11009891666924482,0.019612909028170273,0.1411470765783968,0.034263501883722194,-0.031048159909151996,-3.1457270134917468,,,,,,,,large,N/A,N/A
standard,525,Paracingulate gyrus posterior RH,recovery,drift_1,0.004047823452366316,1.0,1.0,0.004047823452366316,1.1006204466303031,0.008117019988368019,0.00797747606466445,-0.0002643180639764375,0.007234601764353754,0.008381338052344457,3.113024725299416,,,,,,,,large,N/A,N/A
standard,647,Superior temporal gyrus anterior medial RH,baseline,diffusion,0.004277533747360212,1.0,1.0,0.004277533747360212,-1.0929614091931072,0.08492553033849459,0.02966330916347505,0.12042471946632462,0.035070862829057005,-0.035499189127830025,-3.0913616960626045,,,,,,,,large,N/A,N/A
standard,876,Hippocampus anterior LH,baseline,diffusion,0.004359062701644842,1.0,1.0,0.004359062701644842,1.090336971704379,0.14488383285271572,0.036567525709896104,0.10738768637904228,0.032063871971580095,0.03749614647367344,3.0839386658822843,,,,,,,,large,N/A,N/A
standard,61,Ventromedial prefrontal cortex posterior ,baseline,drift_0,0.004383354806333178,1.0,1.0,0.004383354806333178,-1.0895640340315051,-0.05454542875736271,0.014237705708930879,-0.04098269123296819,0.010353068855906493,-0.01356273752439452,-3.08175246800259,,,,,,,,large,N/A,N/A
standard,169,Cerebellum VI,recovery,diffusion,0.004410200175942564,1.0,1.0,0.004410200175942564,1.088714582751874,0.12579456722870924,0.0339629088421429,0.09630545756073924,0.01771559123057989,0.029489109667969998,3.0793498569621316,,,,,,,,large,N/A,N/A
standard,238,Anterior insula anterior RH,baseline,diffusion,0.00459565998690953,0.9411911653190718,1.0,0.00459565998690953,1.0829771441768492,0.1289845836103916,0.03515669426985091,0.09758204453296468,0.021109240857937597,0.03140253907742693,3.063121930069966,,,,,,,,large,N/A,N/A
standard,769,Forceps major posterior,baseline,drift_0,0.004763648099760754,1.0,1.0,0.004763648099760754,1.077967163707492,-0.04360389200829745,0.012672970320376573,-0.05932672843172908,0.016275053455342654,0.015722836423431627,3.0489515654159867,,,,,,,,large,N/A,N/A
standard,587,Superior temporal sulcus mid-anterior RH,recovery,drift_1,0.004835812472936456,1.0,1.0,0.004835812472936456,-1.0758663471989633,-0.005603383631633706,0.00979686351120374,0.0032485818568692253,0.006278008729535887,-0.008851965488502932,-3.0430095590191506,,,,,,,,large,N/A,N/A
