roi_idx,roi_label,n_subjects_analyzed,comparison,active_mean_change,active_std_change,sham_mean_change,sham_std_change,t_statistic,p_value,cohens_d,n_subjects
0,Retrocalcarine cortex RH,16,stimulation_vs_baseline,-0.07739992812783719,0.12782117915564434,-0.023537417005834366,0.17671756039237324,-0.9751955220153387,0.34492900379318925,-0.34925860576371887,16
0,Retrocalcarine cortex RH,16,recovery_vs_baseline,-0.029157310178488743,0.22731916116020026,-0.053920099336994265,0.09902343700971065,0.3375235628561622,0.7403991868254665,0.14123713275177183,16
1,Superior longitudinal fasciculus II mid-posterior RH,16,stimulation_vs_baseline,0.10033031781661084,0.2537251100150132,-0.009413099990274149,0.15200415261535286,1.6830898200053659,0.11304931744183397,0.5247287835026015,16
1,Superior longitudinal fasciculus II mid-posterior RH,16,recovery_vs_baseline,0.07335776928931537,0.19281212410592885,0.03558220590268571,0.1462766672887017,0.5018670830338651,0.6230471060503119,0.22073734278233173,16
2,Arcuate fasciculus mid-anterior RH,16,stimulation_vs_baseline,0.0038996517820268084,0.15074006968218165,-0.04333435336378777,0.13164822876608534,0.7708097853518052,0.4527907523923186,0.3337703650955597,16
2,Arcuate fasciculus mid-anterior RH,16,recovery_vs_baseline,-0.03815771836225429,0.17123153368215033,0.008077673183256057,0.12802956474693927,-0.8393963731582105,0.4144252249167887,-0.305826658929422,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),16,stimulation_vs_baseline,-0.09994477635169202,0.28898085249339683,-0.1301593867645699,0.2179293435855461,0.3373870569799174,0.7405000149559516,0.11805684082392606,16
3,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),16,recovery_vs_baseline,-0.08932789997386079,0.3053082077771962,-0.05029848647338653,0.22117849958718283,-0.4415512755178858,0.6651127309210662,-0.146406215683492,16
4,Precentral sulcus mid-inferior RH,16,stimulation_vs_baseline,-0.05492276075719754,0.13166852975288867,-0.08830551463832184,0.17448664216729007,0.6580041394140703,0.5205069066745034,0.21597532333545258,16
4,Precentral sulcus mid-inferior RH,16,recovery_vs_baseline,-0.01484984313919166,0.16819265401260935,-0.07451131275296224,0.19579362960645966,0.878930725018069,0.39330126777115737,0.32688415716027774,16
5,Putamen inferior RH,16,stimulation_vs_baseline,0.015414508010991812,0.18872294635362855,0.021789466563038207,0.15149441508042183,-0.09925763722923346,0.9222480821403249,-0.037253425605748854,16
5,Putamen inferior RH,16,recovery_vs_baseline,0.07913893727702809,0.180919608569841,0.024501004395240833,0.16869372181310494,0.8557733176412678,0.40558623741877475,0.3123711303692698,16
6,Paracingulate gyrus posterior,16,stimulation_vs_baseline,-0.0849114283606478,0.22175953234911702,-0.0966616005663457,0.23866202099141037,0.14189850565998574,0.8890484873891089,0.051006571345911786,16
6,Paracingulate gyrus posterior,16,recovery_vs_baseline,-0.10659123272743787,0.21106118044287783,-0.056279928106341304,0.22462052541107183,-0.5792567757783333,0.5710134228855487,-0.23084263665794974,16
7,Inferior temporal sulcus anterior RH,16,stimulation_vs_baseline,-0.009987395190152154,0.1825274497634634,0.031362877938753614,0.13994339196583444,-0.7118433724099685,0.48748619268176585,-0.2542516666822831,16
7,Inferior temporal sulcus anterior RH,16,recovery_vs_baseline,0.0003688469148178386,0.13748759432065685,0.02814338461161975,0.11903979721348663,-0.591311895467928,0.5631170985511949,-0.21598470290922125,16
8,Parahippocampal gyrus anterior,16,stimulation_vs_baseline,0.04238803955519482,0.1590570551697881,-0.05591632955155387,0.12199002507980539,1.8487470251949014,0.08430220773293493,0.6935519523269847,16
8,Parahippocampal gyrus anterior,16,recovery_vs_baseline,0.08850589134225936,0.1606712096076226,-0.12395842294952727,0.15975779513399288,3.704759931547762,0.0021183364228410735,1.3261187215880699,16
9,Calcarine cortex mid-posterior RH,16,stimulation_vs_baseline,-0.04699550662656912,0.1646667959510509,0.008531884682186741,0.2095844079899916,-0.8034481818939195,0.4342636564904936,-0.29462419897234604,16
9,Calcarine cortex mid-posterior RH,16,recovery_vs_baseline,-0.08541853588898007,0.16771798491710005,-0.0015302082888236646,0.14802218641997442,-1.412061581053753,0.17834070009619782,-0.5303448555252327,16
