roi_index,roi_label,comparison,coefficient,p_value_paired,p_value_paired_fdr,p_value_paired_bonferroni,cohens_d_paired,t_statistic_paired,degrees_of_freedom,n_paired_subjects,active_change_mean,active_change_std,active_change_sem,sham_change_mean,sham_change_std,sham_change_sem,paired_difference_mean,paired_difference_std,paired_difference_sem,p_value_active_vs_zero,p_value_sham_vs_zero,p_value_unpaired,cohens_d_unpaired,effect_size_category,active_change_direction,sham_change_direction,change_pattern
145,Inferior longitudinal fasciculus middle RH,recovery_minus_baseline,drift_0,0.0003033150143440988,0.31059457468835716,0.31059457468835716,-1.1669882327826142,-4.667952931130457,15,16,-0.025918611029369168,0.031028903279893646,0.007757225819973412,0.005193012575053217,0.016704160639279767,0.004176040159819942,-0.03111162360442239,0.026659757768284064,0.006664939442071016,0.004465023104961323,0.23275909407943385,0.0013583500418810962,-1.2485560122710553,large,decrease,increase,ADSI
539,Superior longitudinal fasciculus III posterior LH,stimulation_minus_baseline,drift_1,0.0003961194260139914,0.4056262922383272,0.4056262922383272,1.1333308556425932,4.533323422570373,15,16,0.009890083487314438,0.015244217370812295,0.0038110543427030737,-0.010173427853682913,0.01372502354253595,0.0034312558856339874,0.02006351134099735,0.017703136944613968,0.004425784236153492,0.020295796514725368,0.009636493745197408,0.0004854457702191854,1.3832588579837362,large,increase,decrease,AISD
565,Middle frontal gyrus posterior LH,stimulation_minus_baseline,drift_0,0.0006185850047588598,0.6334310448730724,0.6334310448730724,1.0776284754654522,4.310513901861809,15,16,0.007760818647357506,0.01500230477862766,0.003750576194656915,-0.012431576580567164,0.012254900322994535,0.0030637250807486337,0.02019239522792467,0.018737807776658014,0.004684451944164504,0.05620948419890758,0.0010311190927931662,0.00023916590727632474,1.4741493458657138,large,increase,decrease,AISD
212,Precentral sulcus middle RH,stimulation_minus_baseline,drift_0,0.0006319676460801375,0.3235674347930304,0.6471348695860608,1.074967814558899,4.299871258235596,15,16,0.008392188498251074,0.01572890272969328,0.00393222568242332,-0.008817770608433237,0.016507744574850214,0.0041269361437125535,0.01720995910668431,0.016009743616134428,0.004002435904033607,0.049739891890743876,0.04951178959686358,0.005136751882455162,1.0674148778495853,large,increase,decrease,AISD
997,Superior parietal lobule posterior LH,stimulation_minus_baseline,drift_1,0.0007183112707004355,0.367775370598623,0.735550741197246,-1.0590730623535833,-4.236292249414333,15,16,-0.0063615796242344515,0.010693034892720048,0.002673258723180012,0.007051986961440175,0.012989486001843104,0.003247371500460776,-0.013413566585674625,0.012665383591067446,0.0031663458977668614,0.031030166721338445,0.04633568343872104,0.0033313816610537434,-1.1274935786478537,large,decrease,increase,ADSI
825,Parieto-occipital sulcus postero-superior RH,stimulation_minus_baseline,drift_1,0.0007362354594778905,0.25130170350178666,0.7539051105053599,-1.056018759050307,-4.224075036201228,15,16,-0.009670816747791555,0.014271939493105797,0.003567984873276449,0.007494094132478569,0.017206400437906957,0.004301600109476739,-0.017164910880270126,0.016254361708220772,0.004063590427055193,0.016117624630735638,0.10193954107656876,0.0045010010565858455,-1.08587744624575,large,decrease,increase,ADSI
710,Dorsal visual stream RH,stimulation_minus_baseline,diffusion,0.0015033266141310257,1.0,1.0,-0.9681192352391648,-3.872476940956659,15,16,-0.04051468826869804,0.054771625629482575,0.013692906407370644,0.01707889081050534,0.04877161621255385,0.012192904053138463,-0.05759357907920338,0.05949017123389293,0.014872542808473232,0.00975715160942175,0.1816435431512159,0.003766341893015031,-1.110591590576864,large,decrease,increase,ADSI
264,Precentral sulcus mid-superior RH,stimulation_minus_baseline,drift_0,0.0015734659797581063,0.5370763877574336,1.0,0.9625355124010602,3.8501420496042407,15,16,0.006556465126018482,0.011076567639250358,0.0027691419098125896,-0.00839239850710448,0.012525633880929072,0.003131408470232268,0.014948863633122964,0.01553071387032026,0.003882678467580065,0.03176578646386331,0.017129347021185643,0.0012057410197137556,1.2643540008294185,large,increase,decrease,AISD
238,Anterior insula anterior RH,stimulation_minus_baseline,drift_0,0.001815694721560816,0.4648178487195689,1.0,0.945020612340109,3.780082449360436,15,16,0.009458239065136957,0.016623265702067274,0.0041558164255168185,-0.00922683354914607,0.012102495705643021,0.0030256239264107553,0.018685072614283024,0.019772132343244958,0.0049430330858112395,0.03794868513740693,0.008110678465793178,0.0010303042993496953,1.2851107907964525,large,increase,decrease,AISD
590,Occipitotemporal sulcus posterior RH,stimulation_minus_baseline,drift_1,0.0018527044778290512,0.4742923463242371,1.0,-0.9425544180021705,-3.770217672008682,15,16,-0.00306512638952017,0.01776531783308054,0.004441329458270135,0.014234893221231192,0.016109078245916068,0.004027269561479017,-0.017300019610751362,0.018354398727895543,0.004588599681973886,0.5006473926101138,0.0030024521926740205,0.007171935691133694,-1.0202028715437461,large,decrease,increase,ADSI
